G05727,쪽파,1700
G05728,쪽파(뿌리),2000
G05729,쪽파(토종),2000
G05730,찰녹미,6000
G05731,찰보리쌀,4000
G05732,찰수수,10000
G05733,찰옥수수(냉동),3300
G05734,찰현미,4000
G05735,찰홍미,6000
G05736,찰흑미,3500
G05737,참기름,21000
G05738,참깨,18000
G05739,참깨꼬소봉,2800
G05740,참깨드레싱,5800
G05741,참나물,2000
G05742,참송이버섯,9500
G05743,찹쌀,4000
G05744,찹쌀가루,5500
G05745,찹쌀가루(현미),5500
G05746,찹쌀떡,2000
G05747,찹쌀파이,1750
G05748,채식자장,6500
G05749,천년초열매분말,15000
G05750,천년초줄기분말,11000
G05751,천년초즙,5500
G05752,천문동(뿌리),9000
G05753,철쭉,2000
G05754,청경채,1000
G05755,청국장,10000
G05756,청국장가루,20000
G05757,청국장찌개,5000
G05758,청양고추,2000
G05759,청하국,3000
G05760,초석잠,6000
G05761,초석잠차,15000
G05762,초코쉬폰,3000
G05763,총각김치,4500
G05764,총각무(알타리무),5000
G05765,취나물,2500
G05766,취나물(노지),2500
G05767,취나물장아찌,4000
G05768,치자,3000
G05769,치즈베이글,1500
G05770,치즈빵,2000
G05771,치커리,1000
G05772,칡(갈근),8000
G05773,칡분말,13000
G05774,칡즙,31000
G05775,한우양지(국내산),8000
G05776,카네이션,2000
G05777,카드지갑,4500
G05778,카렌즈,3500
G05779,카스테라,1750
G05780,칼라,5000
G05781,칼랑코에,2500
G05782,케일,1000
G05783,케일(즙),1500
G05784,코와니,3000
G05785,코요테,3000
G05786,코코넛쿠키,3000
G05787,콜라비,2000
G05788,콩강정,7500
G05789,콩깨떡,12000
G05790,콩나물콩,10000
G05791,콩멥시루떡,1000
G05792,콩자반,3800
G05793,쿠페아,4000
G05794,크랜베리모닝빵,1300
G05795,테이프,300
G05796,토란,4000
G05797,토란대,3000
G05798,토마토,6500
G05799,토마토당근주스,2200
G05800,토마토쥬스,1900
G05801,통밀가루,3500
G05802,통밀건빵,2000
G05803,통밀국수,2700
G05804,통밀쌀,3300
G05805,통밀차,5000
G05806,튤립,2000
G05807,파김치,4500
G05808,파우치,6000
G05809,파채,1000
G05810,파프리카,1000
G05811,파프리카(바나나),3800
G05812,팔찌(구슬),2200
G05813,팥,10000
G05814,팥(검정),9000
G05815,팥(적),11000
G05816,팥가루(볶음),12000
G05817,팥시루떡,3400
G05818,팥찰시루떡,1100
G05819,팽이버섯,900
G05820,편강,20800
G05821,편강(대),24000
G05822,편강(소),5400
G05823,편강(중),15000
G05824,편백공예품,6000
G05825,편백나무도마,10000
G05826,편백나무목침,15500
G05827,편백나무베개볼,10000
G05828,편백나무보조목침,13000
G05829,편백나무볼베개,10000
G05830,편백나무주걱,5000
G05831,편백안마봉,12000
G05832,편백운동기구,15000
G05833,포기김치,7800
G05834,포도나무(거봉),5000
G05835,포장랩,15000
G05836,표고가루,7000
G05837,표고간장,8000
G05838,표고된장,13000
G05839,표고버섯(배지),1800
G05840,표고버섯(송화),3600
G05841,표고버섯(슬),2800
G05842,표고버섯(원목),9000
G05843,풋마늘,1000
G05844,풋마늘장아찌,4000
G05845,풋호박,1500
G05846,프리저브드꽃다발,13000
G05847,프리저브드플라워,5000
G05848,프리지아,2500
G05849,피자빵,1250
G05850,할미꽃,10000
G05851,항암쌈채,1200
G05852,해물라면,1600
G05853,해피블루,2000
G05854,해피엔젤,12000
G05855,향찰현미,13500
G05856,허브,2000
G05857,허브(라벤다),3000
G05858,허브(로즈마리),2000
G05859,허브(애플민트),2000
G05860,허브차(라벤더),15000
G05861,허브차(레몬밤),9500
G05862,허브차(로즈마리),12000
G05863,허브차(박하),9500
G05864,허브차(캐모마일),12000
G05865,허브차(페퍼민트),9500
G05866,헛개나무,3000
G05867,헛개나무(열매),4500
G05868,헛개열매즙,10000
G05869,헤이즐넛,13500
G05870,현미,5000
G05871,현미(왕눈이),4500
G05872,현미가래떡,3500
G05873,현미강정,6500
G05874,현미과자,2000
G05875,현미깡,2250
G05876,현미누룽지,8500
G05877,현미누룽지차,3900
G05878,현미두부과자,4000
G05879,현미미숫가루,13000
G05880,현미바,10000
G05881,현미시리얼,9900
G05882,현미채식면,1500
G05883,호두,10000
G05884,호두쉬폰,3000
G05885,호두쿠키,3000
G05886,호두크랜베리빵,3000
G05887,호밀빵,2000
G05888,호박고지,2000
G05889,호박고지(늙은호박),2500
G05890,호박고지(단호박),2500
G05891,호박씨,4000
G05892,호박즙,4500
G05893,혼합5곡,15000
G05894,홍미,6000
G05895,홍화씨,8000
G05896,화살나무,4000
G05897,화살나무순,1200
G05898,화훼,2000
G05899,황기,5500
G05900,흑마늘대추즙,8000
G05901,흑미설기,800
G05902,흑보리,6000
G05903,흑임자,9200
G05904,흑임자죽가루,15000
G05905,흑토마토,8000
G05906,흰두부,3500
G05907,흰찰쌀보리,3500
G05908,히야신스,2500
G05909,가래떡,400
G05910,가시오가피,3700
G05911,가시오가피(잎),2000
G05912,가죽나물,3500
G05913,가지,2000
G05914,간장(국),6000
G05915,감말랭이,5000
G05916,감식초(복분자),9200
G05917,감식초(오미자),9200
G05918,감자,1200
G05919,감자(새봉),2000
G05920,감자(수미),1000
G05921,감자전분,7500
G05922,갓,500
G05923,갓(돌산),1300
G05924,갓(솎음),1800
G05925,갓(청),1500
G05926,강낭콩,16000
G05927,강황분말,14000
G05928,거베라,4000
G05929,거북이빵,2000
G05930,건가지,2000
G05931,건고구마줄기,3000
G05932,건고사리,9000
G05933,건고추,30000
G05934,건고추(청양),15000
G05935,건고춧잎,2500
G05936,건곤드레,3000
G05937,건곰보배추,10000
G05938,건구기자,8000
G05939,건구아바잎,9000
G05940,건노루궁뎅이버섯,20000
G05941,건당근,2800
G05942,건대추,5000
G05943,건대추(채),5000
G05944,건도라지,6000
G05945,건돼지감자,3000
G05946,건돼지감자(자색),6000
G05947,건딸기,2500
G05948,건모과,5000
G05949,건블루베리,8000
G05950,건비트,3500
G05951,건쇠무릎,5000
G05952,건쑥,4000
G05953,건아로니아,3000
G05954,건어성초,4000
G05955,건연근,3000
G05956,건오미자,13000
G05957,건우엉,2500
G05958,건인삼,19000
G05959,건자소엽,7000
G05960,건작두콩,7000
G05961,건장녹나물,2500
G05962,건참송이버섯,13000
G05963,건취나물,5000
G05964,건칡,4000
G05965,건토란대,2000
G05966,건표고버섯,5000
G05967,건표고버섯(배지),11000
G05968,건표고버섯(슬),5000
G05969,건표고버섯(원목),4500
G05970,건표고버섯(원목-슬),4500
G05971,건표고버섯밑동,3500
G05972,검은콩자반김,1600
G05973,검정콩미숫가루,12000
G05974,겨우살이,20000
G05975,겨우살이차,14000
G05976,겨자채,1000
G05977,겨자채(적),1000
G05978,겨자채(청),1000
G05979,결명자,9000
G05980,결명자차,8000
G05981,고구마(꿀),3000
G05982,고구마(달달구리),3000
G05983,고구마(호박),3000
G05984,고구마순,1200
G05985,고구마줄기,3000
G05986,고들빼기,1000
G05987,고들빼기김치,8900
G05988,고사리,2000
G05989,고수,1000
G05990,고추장,20000
G05991,고추장매실장아찌,9500
G05992,고추장아찌,3500
G05993,고춧가루(매운맛),13000
G05994,고춧가루(보통맛),17000
G05995,고춧잎,2000
G05996,곰돌이,1350
G05997,곰보배추,2000
G05998,곰보배추분말,15000
G05999,곰보배추즙,6000
G06000,곰취,1000
G06001,곰취장아찌,6600
G06002,공조팝,10000
G06003,곶감,4500
G06004,과일무차,8000
G06005,과즐,10000
G06006,관엽,2000
G06007,구기자순,1000
G06008,구기자진액,15000
G06009,구절초꽃차,8000
G06010,국화,4000
G06011,국화차,5000
G06012,귀리,6000
G06013,귀리곡물선식,12000
G06014,귀리볶음가루,9000
G06015,근대,1000
G06016,근대(적),1000
G06017,근대(청),1200
G06018,금어초,3500
G06019,김부각,10000
G06020,김부각(새우),10600
G06021,김부각(양파),2500
G06022,깍두기,3500
G06023,깐늙은호박,3000
G06024,깐다슬기(냉동),15000
G06025,깐단호박,4500
G06026,깐더덕,6000
G06027,깐도라지,1500
G06028,깐마늘,2000
G06029,깐생강,10000
G06030,깐생강(토종),12000
G06031,깐양파,1000
G06032,깐옥수수알,7000
G06033,깐은행,5000
G06034,깐쪽파,600
G06035,깐토란,2200
G06036,깨소금,7800
G06037,깻잎,1000
G06038,깻잎순,750
G06039,깻잎장아찌,4000
G06040,꽃피는산골된장,15000
G06041,꽃피는산골조선간장,9800
G06042,꽃피는산골찹쌀고추장,16500
G06043,꽈리고추,1800
G06044,꾸지뽕,2500
G06045,꾸지뽕(야생),9000
G06046,꾸지뽕(열매),4500
G06047,꿀(때죽),10000
G06048,꿀(밤),20000
G06049,꿀(아카시아),20000
G06050,꿀(잡화),18000
G06051,꿀떡,500
G06052,냉동블루베리,6000
G06053,냉이,1500
G06054,냉이(노지),1500
G06055,노루궁뎅이녹각영지버섯즙,9800
G06056,노루궁뎅이버섯분말,20000
G06057,녹각영지버섯,15000
G06058,녹두,14000
G06059,논우렁,3300
G06060,논우렁(냉동),3500
G06061,농부식빵,1800
G06062,눈개승마(삼나물),4000
G06063,느릅나무,2500
G06064,느릅나무(뿌리),6000
G06065,느타리버섯,3000
G06066,늘보리쌀,5000
G06067,늙은호박,3500
G06068,늙은호박팥차,11000
G06069,다래순,2500
G06070,대파,900
G06071,대파(노지),1000
G06072,대파(토종),700
G06073,더덕,5000
G06074,데친고사리,2800
G06075,데친시래기,1500
G06076,데친우거지,1500
G06077,데친토란대,4000
G06078,델피니움,5000
G06079,도라지,2000
G06080,도라지분말,15000
G06081,도라지조청,75000
G06082,도라지진액,25000
G06083,돌나물,500
G06084,돌미나리,650
G06085,동부콩,10000
G06086,동부콩(검),3000
G06087,돼지감자,2000
G06088,돼지감자(적),2500
G06089,돼지감자분말,7500
G06090,된장,15000
G06091,된장(찹쌀),15000
G06092,두릅(나무),3000
G06093,두릅(땅),5000
G06094,두릅장아찌,7000
G06095,두메부추,1200
G06096,두부,2000
G06097,두부스낵,3500
G06098,둥굴레,10000
G06099,들기름,13000
G06100,들깨,13000
G06101,들깨가루,13000
G06102,들깨강정,8500
G06103,들깨드레싱,4900
G06104,딸기,1500
G06105,딸기꿀떡,3000
G06106,딸기잼,3000
G06107,땅콩,16000
G06108,때타올(인견),1900
G06109,떡갈비(매콤한맛),2900
G06110,떡국떡,6000
G06111,떡볶이떡,6000
G06112,떡쌀뻥튀기,3000
G06113,라면과자,1450
G06114,라일락,3000
G06115,러스크,2000
G06116,레드치커리,1000
G06117,롤케익,2000
G06118,리본악세사리,1500
G06119,리시안셔스,4500
G06120,마(둥근),8000
G06121,마가목,2000
G06122,마늘,4000
G06123,마늘바게트,3500
G06124,마늘소금,8200
G06125,마늘장아찌,3000
G06126,마늘종,2000
G06127,마더스콘,3500
G06128,마스크,5000
G06129,마스크(아동용),5000
G06130,만가닥버섯,1000
G06131,만리향,10000
G06132,맘모스빵,2000
G06133,매생이두부,3500
G06134,매실장아찌,6000
G06135,매실진액,17000
G06136,맹감나무뿌리,5000
G06137,머위,1000
G06138,머위(노지),1200
G06139,머위(산),1500
G06140,머윗대,1800
G06141,메론,7000
G06142,메밀순,1800
G06143,메주,22000
G06144,메주가루,25000
